country,2005,2010,2015,2021
Italy,44.115,49.997,73.53,67.643
Belgium,52.938,29.41,82.348,64.702
England,49.997,44.115,67.643,58.82
Scotland,49.997,44.115,67.643,58.82
Wales,49.997,44.115,67.643,58.82
Northern Ireland,49.997,44.115,67.643,58.82
Monaco,55.879,52.938,76.47,52.938
Japan,38.233,23.528,58.82,27.9395
Brazil,24.9985,27.9395,52.938,23.528
Germany,27.9395,38.233,67.643,20.587
Australia,24.9985,23.528,55.879,17.646
Austria,NA,NA,29.41,17.64
Canada,29.41,14.7,49.997,14.7
Azerbaijan,NA,NA,NA,14.7
USA,NA,20.587,52.938,14.7
Netherlands,NA,NA,NA,14.7
Singapore,NA,11.764,24.9985,11.764
United Arab Emirates,NA,16.1755,14.705,8.823
Spain,22.0575,17.646,41.174,8.823
Hungary,16.1755,5.882,26.469,5.882
Turkey,8.823,5.882,8.823,4.4115
France,20.587,25.9985,41.174,5.882
Bahrain,14.705,7.3525,8.823,5.882
Mexico,NA,2.941,8.823,4.4115
Malaysia,17.646,8.823,19.1165,2.941
Russia,NA,5.882,5.882,1.4705
China,14.705,7.9407,8.823,1.4705
Saudi Arabia,NA,NA,NA,0.8823
