Race Name,Country,Estimated Economic Impact ($ Millions),Source,Year
Las Vegas Grand Prix,United States,1500,talksport.com,2023
United States Grand Prix,United States,900,urbanland.uli.org,2023
Miami Grand Prix,United States,350,f1miamigp.com,2022
Australian Grand Prix,Australia,171,en.wikipedia.org,2022
Canadian Grand Prix,Canada,84,en.wikipedia.org,2023
Mexican Grand Prix,Mexico,408,en.wikipedia.org,2023
Belgian Gran Prix,Belgium,43,scuderiafans.com,2022
Monaco Grand Prix,Monaco,110,etonomics.com,2023
Spanish Grand Prix,Spain,170,barcelonaexpatlife.com,2022
British Grand Prix,United Kingdom,100,premiumcreative.co.uk,2023
Dutch Grand Prix,Netherlands,46,corp.formula1.com,2021
Italian Grand Prix,Italy,148,ilmessaggero.it,2023
